tox_cas_edf_id,tox_chemical_name,tox_category,tox_cancer,tox_cardiovascular_blood,tox_developmental,tox_endocrine,tox_gastrointestinal_liver,tox_immunotoxicity,tox_kidney,tox_musculoskeletal,tox_neurotoxicity,tox_reproductive,tox_respiratory,tox_skin_sense
51786-53-9,"2,5-XYLIDINE.HCL",suspected,True,False,False,False,False,False,False,False,False,False,False,False
518-75-2,CITRININ,suspected,False,False,False,False,True,False,True,False,False,False,False,False
51908-16-8,"2,2',3,4',5,5'-Hexachlorobiphenyl",recognized,True,False,True,False,False,False,False,False,False,False,False,False
52-01-7,SPIRONOLACTONE,recognized,True,False,False,False,False,False,False,False,False,False,False,False
52-01-7,SPIRONOLACTONE,suspected,False,True,False,False,False,False,True,False,False,False,True,False
52-24-4,TRIS(1-AZIRIDINYL) PHOSPHINE SULFIDE (THIOTEPA),recognized,True,False,False,False,False,False,False,False,False,False,False,False
52-28-8,CODEINE PHOSPHATE,recognized,False,False,True,False,False,False,False,False,False,False,False,False
52-28-8,CODEINE PHOSPHATE,suspected,False,True,False,False,False,False,False,False,True,False,False,True
52-51-7,"2-BROMO-2-NITROPROPANE-1,3-DIOL",suspected,False,False,False,False,True,True,False,False,False,False,False,True
52-53-9,Verapamil,suspected,True,True,False,False,True,False,False,False,True,False,False,True
52-67-5,PENICILLAMINE,recognized,False,False,True,False,False,False,False,False,False,False,False,False
52-67-5,PENICILLAMINE,suspected,False,True,False,False,True,False,True,True,True,False,True,True
52-68-6,TRICHLORFON,suspected,True,True,True,False,True,True,False,False,True,True,False,True
52-76-6,LYNESTRENOL,recognized,True,False,False,False,False,False,False,False,False,False,False,False
52-85-7,FAMPHUR,suspected,False,False,False,False,False,False,False,False,True,False,False,False
52-86-8,Haloperidol,recognized,False,False,True,False,False,False,False,False,False,True,False,False
52-86-8,Haloperidol,suspected,False,True,False,False,False,False,False,False,True,False,False,False
5208-87-7,1'-HYDROXYSAFROLE,suspected,True,False,False,False,True,False,False,False,False,False,False,False
5216-25-1,"P-A,A,A-TETRACHLOROTOLUENE",recognized,True,False,False,False,False,False,False,False,False,False,False,False
5216-25-1,"P-A,A,A-TETRACHLOROTOLUENE",suspected,False,False,False,False,False,False,False,False,True,False,True,False
52214-84-3,Ciprofibrate,suspected,True,False,False,False,True,False,False,False,False,False,False,False
52315-07-8,CYPERMETHRIN,suspected,True,False,False,True,True,True,False,False,True,True,False,False
5234-68-4,CARBOXIN,suspected,False,False,False,False,False,False,True,False,True,False,False,False
52645-53-1,PERMETHRIN,suspected,True,False,False,True,True,False,False,False,True,True,False,False
52663-58-8,"2,3,4',6-Tetrachlorobiphenyl",recognized,True,False,True,False,False,False,False,False,False,False,False,False
52663-59-9,"2,2',3,4-Tetrachlorobiphenyl",recognized,True,False,True,False,False,False,False,False,False,False,False,False
52663-60-2,"2,2',3,3',6-Pentachlorobiphenyl",recognized,True,False,True,False,False,False,False,False,False,False,False,False
52663-61-3,"2,2',3,5,5'-Pentachlorobiphenyl",recognized,True,False,True,False,False,False,False,False,False,False,False,False
52663-62-4,"2,2',3,3',4-Pentachlorobiphenyl",recognized,True,False,True,False,False,False,False,False,False,False,False,False
52663-63-5,"2,2',3,5,5',6-Hexachlorobiphenyl",recognized,True,False,True,False,False,False,False,False,False,False,False,False
52663-64-6,"2,2',3,3',5,6,6'-Heptachlorobiphenyl",recognized,True,False,True,False,False,False,False,False,False,False,False,False
52663-65-7,"2,2',3,3',4,6,6'-Heptachlorobiphenyl",recognized,True,False,True,False,False,False,False,False,False,False,False,False
52663-66-8,"2,2',3,3',4,5'-Hexachlorobiphenyl",recognized,True,False,True,False,False,False,False,False,False,False,False,False
52663-67-9,"2,2',3,3',5,5',6-Heptachlorobiphenyl",recognized,True,False,True,False,False,False,False,False,False,False,False,False
52663-68-0,"2,2',3,4',5,5',6-HEPTACHLOROBIPHENYL (PCB-187)",recognized,True,False,True,False,False,False,False,False,False,False,False,False
52663-69-1,"2,2',3,4,4',5',6-Heptachlorobiphenyl",recognized,True,False,True,False,False,False,False,False,False,False,False,False
52663-70-4,"2,2',3,3',4,5',6'-Heptachlorobiphenyl",recognized,True,False,True,False,False,False,False,False,False,False,False,False
52663-71-5,"2,2',3,3',4,4',6-HEPTACHLOROBIPHENYL (PCB-171)",recognized,True,False,True,False,False,False,False,False,False,False,False,False
52663-72-6,"2,3',4,4',5,5'-Hexachlorobiphenyl",recognized,True,False,True,False,False,False,False,False,False,False,False,False
52663-73-7,"2,2',3,3',4,5,6,6'-Octachlorobiphenyl",recognized,True,False,True,False,False,False,False,False,False,False,False,False
52663-74-8,"2,2',3,3',4,5,5'-Heptachlorobiphenyl",recognized,True,False,True,False,False,False,False,False,False,False,False,False
52663-75-9,"2,2',3,3',4,5,5',6'-Octachlorobiphenyl",recognized,True,False,True,False,False,False,False,False,False,False,False,False
